step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,25,1,0.8230612475735446,0.0,0.0,0.9493485973711359,0.0,0.0,,
2,42,2,1.5407779640023365,0.0,0.0,,,,,
3,75,3,0.805984586062459,0.0,0.0,,,,,
4,108,4,0.8449099761899561,0.0,0.0,,,,,
5,133,5,1.0906503324396906,0.0,0.0,,,,,
6,158,6,0.862459313000242,0.0,0.0,,,,,
7,199,7,0.6454672465549083,0.0,0.0,,,,,
8,224,8,0.785288499171535,0.0,0.0,,,,,
9,241,9,0.9804383624345064,0.0,0.0,,,,,
10,266,10,1.0326729943354924,0.0,0.0,,,,,
11,283,11,1.20961922172537,0.0,0.0,,,,,
12,316,12,0.7383931250777096,0.0,0.0,,,,,
13,341,13,0.7435350413123767,0.0,0.0,,,,,
14,366,14,0.633420420717448,0.0,0.0,,,,,
15,383,15,0.9031621970236301,0.0,0.0,,,,,
16,408,16,0.7953311594203116,0.0,0.0,,,,,
17,433,17,0.5249827425926923,0.0,0.0,,,,,
18,450,18,0.8727514803409576,0.0,0.0,,,,,
19,475,19,0.795254008223613,0.0,0.0,,,,,
20,500,20,0.9539505213499069,0.0,0.0,,,,,
21,517,21,0.5156923355534673,0.0,0.0,,,,,
22,542,22,0.7093948544313511,0.0,0.0,,,,,
23,575,23,0.4969466894399375,0.0,0.0,,,,,
24,608,24,0.5374876871588641,0.0,0.0,,,,,
25,625,25,0.4654840573901311,0.0,0.0,,,,,
26,650,26,0.5862489290535451,0.0,0.0,,,,,
27,667,27,0.7301262710243464,0.0,0.0,,,,,
28,692,28,0.5127013258635997,0.0,0.0,,,,,
29,725,29,0.7739800697367173,1.0,1.0,,,,,
30,750,30,0.8408810313791035,0.0,0.0,,,,,
31,775,31,0.5775875677665074,1.0,1.0,,,,,
32,800,32,0.5283500178406636,0.0,0.0,,,,,
33,825,33,0.7203866268585746,1.0,1.0,,,,,
34,842,34,0.6593324703047982,0.0,0.0,,,,,
35,867,35,0.7180348525444666,0.0,0.0,,,,,
36,892,36,0.7299857986470064,1.0,1.0,,,,,
37,901,37,0.8664097405970096,0.0,0.0,,,,,
38,934,38,0.5158265759237111,0.0,0.0,,,,,
39,951,39,0.7004141546785831,0.0,0.0,,,,,
40,976,40,0.5840378921168545,0.0,0.0,,,,,
41,1009,41,0.5163824398710858,0.0,0.0,,,,,
42,1034,42,0.6202870140473048,1.0,1.0,,,,,
43,1067,43,0.48484558444470166,1.0,1.0,,,,,
44,1100,44,0.5565936267375946,0.0,0.0,,,,,
45,1125,45,0.6781448503335318,1.0,1.0,,,,,
46,1150,46,0.5549385885397593,0.0,0.0,,,,,
